1	0	0	0	0	0	0	0	0	0	0	0	8965.6	1199	20	0.25
2	0	0	0	0	0	0	0	0	0	0	0	30310	1863	100	0.04
3	0	70000	0.64	0	6500	0	300	0	0	0.05	0	44800	4160	25	1.356
7	0	70000	0.64	0	6500	0	300	0	0	0.05	0	44800	4160	125	4.593
8	0	70000	0.45	0	6500	0	300	0	0	0.05	0	31500	2925	25	2.568
11	0	70000	0.45	0	6500	0	300	0	0	0.05	0	31500	2925	100	2.007
12	0	70000	0.4	0	6500	0	300	0	0	0.05	0	28000	2600	25	2.95
13	0	70000	0.4	0	6500	0	300	0	0	0.05	0	28000	2600	50	3.735
1	70000	0	0	6500	0	70000	120	120	0.9	0.9	0.9	70000	6500	120	0.9
2	70000	0	0	6500	0	70000	200	200	1.3	1.3	1.3	70000	6500	200	1.3
3	70000	0	0	6500	0	70000	300	300	1.6	1.6	1.6	70000	6500	300	1.6
4	50000	0	0	6500	0	50000	300	300	6	6	6	50000	6500	300	6
5	70000	0	0	6500	0	70000	300	300	5	5	5	70000	6500	300	5
6	75000	0	0	7000	0	75000	200	200	3	3	3	75000	7000	200	3
7	75000	0	0	7000	0	75000	600	600	8	8	8	75000	7000	600	8
8	90000	0	0	7500	0	90000	150	150	4	4	4	90000	7500	150	4
